Date,Amount
2017/4/27,34
2017/4/26,31
2017/4/25,50
2017/4/24,
2017/4/23,62
2017/4/22,34
2017/4/21,52
2017/4/20,60
2017/4/19,48
2017/4/18,38
2017/4/17,37
2017/4/16,20
2017/4/15,49
2017/4/14,54
2017/4/13,56
2017/4/12,
2017/4/11,30
2017/4/10,44
2017/4/9,50
2017/4/8,
2017/4/7,
2017/4/6,47
2017/4/5,
2017/4/4,46
2017/4/3,
2017/4/2,
2017/4/1,
2017/3/31,46
2017/3/30,
2017/3/29,54
2017/3/28,50
2017/3/27,46
2017/3/26,49
2017/3/25,51
2017/3/24,37
2017/3/23,49
2017/3/22,50
2017/3/21,57
2017/3/20,29
2017/3/19,58
2017/3/18,
2017/3/17,54
2017/3/16,54
2017/3/15,53
2017/3/14,53
2017/3/13,42
2017/3/12,55
2017/3/11,
2017/3/10,59
2017/3/9,53
2017/3/8,
2017/3/7,35
2017/3/6,33
2017/3/5,53
2017/3/4,
2017/3/3,
2017/3/2,49
2017/3/1,30
2017/2/28,
2017/2/27,51
2017/2/26,53
2017/2/25,
2017/2/24,47
2017/2/23,56
2017/2/22,54
2017/2/21,33
2017/2/20,46
2017/2/19,44
2017/2/18,47
2017/2/17,35
2017/2/16,45
2017/2/15,49
2017/2/14,54
2017/2/13,27
2017/2/12,47
2017/2/11,
2017/2/10,49
2017/2/9,36
2017/2/8,28
2017/2/7,54
2017/2/6,42
2017/2/5,
2017/2/4,44
2017/2/3,39
2017/2/2,46
2017/2/1,41
2017/1/31,50
2017/1/30,34
2017/1/29,25
2017/1/28,
2017/1/27,
2017/1/26,
2017/1/25,
2017/1/24,
2017/1/23,43
2017/1/22,60
2017/1/21,63
2017/1/20,53
2017/1/19,52
2017/1/18,58
2017/1/17,37
2017/1/16,57
2017/1/15,65
2017/1/14,60
2017/1/13,60
2017/1/12,41
2017/1/11,22
2017/1/10,53
2017/1/9,52
2017/1/8,60
2017/1/7,60
2017/1/6,56
2017/1/5,26
2017/1/4,30
2017/1/3,53
2017/1/2,47
2017/1/1,60
2016/12/31,60
2016/12/30,49
2016/12/29,38
2016/12/28,44
2016/12/27,41
2016/12/26,56
2016/12/25,53
2016/12/24,
2016/12/23,39
2016/12/22,37
2016/12/21,39
2016/12/20,40
2016/12/19,27
2016/12/18,60
2016/12/17,57
2016/12/16,43
2016/12/15,67
2016/12/14,46
2016/12/13,34
2016/12/12,46
2016/12/11,60
2016/12/10,44
2016/12/9,50
2016/12/8,33
2016/12/7,40
2016/12/6,53
2016/12/5,55
2016/12/4,
2016/12/3,53
2016/12/2,74
2016/12/1,40
2016/11/30,55
2016/11/29,45
2016/11/28,45
2016/11/27,53
2016/11/26,
2016/11/25,53
2016/11/24,
2016/11/23,44
2016/11/22,145
2016/11/21,
2016/11/20,40
2016/11/19,
2016/11/18,32
2016/11/17,
2016/11/16,
2016/11/15,100
2016/11/14,34
2016/11/13,
2016/11/12,
2016/11/11,34
2016/11/10,47
2016/11/9,39
2016/11/8,94
2016/11/7,
2016/11/6,51
2016/11/5,
2016/11/4,46
2016/11/3,40
2016/11/2,50
2016/11/1,109
2016/10/31,26
2016/10/30,
2016/10/29,
2016/10/28,40
2016/10/27,54
2016/10/26,50
2016/10/25,41
2016/10/24,34
2016/10/23,86
2016/10/22,
2016/10/21,46
2016/10/20,39
2016/10/19,34
2016/10/18,98
2016/10/17,55
2016/10/16,53
2016/10/15,34
2016/10/14,43
2016/10/13,93
2016/10/12,77
2016/10/11,100
2016/10/10,46
2016/10/9,60
2016/10/8,
2016/10/7,51
2016/10/6,51
2016/10/5,
2016/10/4,52
2016/10/3,42
2016/10/2,27
2016/10/1,
2016/9/30,38
2016/9/29,50
2016/9/28,104
2016/9/27,65
2016/9/26,48
2016/9/25,
2016/9/24,
2016/9/23,
2016/9/22,
2016/9/21,48
2016/9/20,46
2016/9/19,
2016/9/18,
2016/9/17,
2016/9/16,60
2016/9/15,
2016/9/14,50
2016/9/13,51
2016/9/12,49
2016/9/11,
2016/9/10,
2016/9/9,52
2016/9/8,48
2016/9/7,37
2016/9/6,46
2016/9/5,49
2016/9/4,54
2016/9/3,
2016/9/2,35
2016/9/1,50
2016/8/31,48
2016/8/30,48
2016/8/29,48
2016/8/28,60
2016/8/27,
2016/8/26,
2016/8/25,41
2016/8/24,31
2016/8/23,52
2016/8/22,32
2016/8/21,
2016/8/20,
2016/8/19,
2016/8/18,32
2016/8/17,44
2016/8/16,36
2016/8/15,49
2016/8/14,
2016/8/13,57
2016/8/12,45
2016/8/11,55
2016/8/10,24
2016/8/9,49
2016/8/8,31
2016/8/7,60
2016/8/6,53
2016/8/5,50
2016/8/4,38
2016/8/3,39
2016/8/2,51
2016/8/1,51
2016/7/31,
2016/7/30,47
2016/7/29,48
2016/7/28,49
2016/7/27,
2016/7/26,
2016/7/25,
2016/7/24,
2016/7/23,
2016/7/22,
2016/7/21,
2016/7/20,50
2016/7/19,48
2016/7/18,52
2016/7/17,30
2016/7/16,36
2016/7/15,43
2016/7/14,34
2016/7/13,43
2016/7/12,49
2016/7/11,34
2016/7/10,60
2016/7/9,60
2016/7/8,60
2016/7/7,27
2016/7/6,30
2016/7/5,49
2016/7/4,93
2016/7/3,60
2016/7/2,28
2016/7/1,53
2016/6/30,62
2016/6/29,47
2016/6/28,64
2016/6/27,68
2016/6/26,27
2016/6/25,35
2016/6/24,85
2016/6/23,22
2016/6/22,56
2016/6/21,61
2016/6/20,65
2016/6/19,80
2016/6/18,68
2016/6/17,54
2016/6/16,54
2016/6/15,35
2016/6/14,49
2016/6/13,31
2016/6/12,17
2016/6/11,39
2016/6/10,60
2016/6/9,12
2016/6/8,51
2016/6/7,52
2016/6/6,42
2016/6/5,41
2016/6/4,30
2016/6/3,46
2016/6/2,51
2016/6/1,49
2016/5/31,50
2016/5/30,52
2016/5/29,92
2016/5/28,34
2016/5/27,52
2016/5/26,84
2016/5/25,57
2016/5/24,32
2016/5/23,50
2016/5/22,60
2016/5/21,
2016/5/20,16
2016/5/19,
2016/5/18,22
2016/5/17,35
2016/5/16,23
2016/5/15,29
2016/5/14,16
2016/5/13,33
2016/5/12,
2016/5/11,
2016/5/10,26
2016/5/9,22
2016/5/8,38
2016/5/7,34
2016/5/6,13
2016/5/5,32
2016/5/4,29
2016/5/3,27
2016/5/2,
2016/5/1,29
2016/4/30,27
2016/4/29,30
2016/4/28,23
2016/4/27,22
2016/4/26,
2016/4/25,50
2016/4/24,33
2016/4/23,37
2016/4/22,65
2016/4/21,23
2016/4/20,19
2016/4/19,15
2016/4/18,41
2016/4/17,49
2016/4/16,36
2016/4/15,52
2016/4/14,51
2016/4/13,30
2016/4/12,55
2016/4/11,64
2016/4/10,32
2016/4/9,39
2016/4/8,32
2016/4/7,25
2016/4/6,48
2016/4/5,60
2016/4/4,30
2016/4/3,
2016/4/2,
2016/4/1,
2016/3/31,
2016/3/30,
2016/3/29,
2016/3/28,19
2016/3/27,22
2016/3/26,35
2016/3/25,31
2016/3/24,36
2016/3/23,34
2016/3/22,22
2016/3/21,31
2016/3/20,31
2016/3/19,35
2016/3/18,44
2016/3/17,
2016/3/16,
2016/3/15,38
2016/3/14,
2016/3/13,45
2016/3/12,36
2016/3/11,27
2016/3/10,15
2016/3/9,31
2016/3/8,
2016/3/7,
2016/3/6,47
2016/3/5,38
2016/3/4,41
2016/3/3,
2016/3/2,33
2016/3/1,27
2016/2/29,29
2016/2/28,32
2016/2/27,28
2016/2/26,24
2016/2/25,39
2016/2/24,
2016/2/23,
2016/2/22,
2016/2/21,41
2016/2/20,38
2016/2/19,
2016/2/18,
2016/2/17,
2016/2/16,
2016/2/15,33
2016/2/14,40
2016/2/13,
2016/2/12,46
2016/2/11,
2016/2/10,
2016/2/9,
2016/2/8,45
2016/2/7,30
2016/2/6,
2016/2/5,
2016/2/4,30
2016/2/3,
2016/2/2,
2016/2/1,
2016/1/31,
2016/1/30,42
2016/1/29,33
2016/1/28,49
2016/1/27,
2016/1/26,30
2016/1/25,
2016/1/24,41
2016/1/23,32
2016/1/22,40
2016/1/21,
2016/1/20,17
2016/1/19,
